age_range,value,category
All Aboriginal and Torres Strait Islander people,43751.00,has need for assistance with core activities
All Aboriginal and Torres Strait Islander people,565874.00,not have need for assistance with core
All Aboriginal and Torres Strait Islander people,39547.00,need for assistance not stated
Under_15_years,9624.00,has need for assistance with core activities
Under_15_years,200967.00,not have need for assistance with core
Under_15_years,9814.00,need for assistance not stated
15to24_years,5101.00,has need for assistance with core activities
15to24_years,110835.00,not have need for assistance with core
15to24_years,7782.00,need for assistance not stated
25to34_years,3340.00,has need for assistance with core activities
25to34_years,77361.00,not have need for assistance with core
25to34_years,8153.00,need for assistance not stated
35to44_years,4077.00,has need for assistance with core activities
35to44_years,62245.00,not have need for assistance with core
35to44_years,6076.00,need for assistance not stated
45to54_years,6464.00,has need for assistance with core activities
45to54_years,56909.00,not have need for assistance with core
45to54_years,4036.00,need for assistance not stated
55to64_years,6657.00,has need for assistance with core activities
55to64_years,36667.00,not have need for assistance with core
55to64_years,2100.00,need for assistance not stated
65_years_and_over,8481.00,has need for assistance with core activities
65_years_and_over,20884.00,not have need for assistance with core
65_years_and_over,1590.00,need for assistance not stated
